time_start,time_end,launched,destroyed,id
2022-12-14 00:00:00,2022-12-14 09:15:00,13,13,87
2022-12-16 00:00:00,2022-12-16 00:00:00,72,60,88
2022-12-16 00:00:00,2022-12-16 00:00:00,2,0,89
2022-12-16 00:00:00,2022-12-16 00:00:00,2,0,90
2022-12-16 00:00:00,2022-12-16 00:00:00,27,0,91
2022-12-19 00:00:00,2022-12-19 08:00:00,35,30,92
2022-12-20 13:00:00,2022-12-20 14:00:00,1,1,93
2022-12-20 13:00:00,2022-12-20 14:00:00,1,1,94
2022-12-22 00:00:00,2022-12-22 00:00:00,1,1,95
2022-12-29 00:00:00,2022-12-29 00:00:00,1,1,96
2022-12-29 00:00:00,2022-12-29 00:00:00,3,3,97
2022-12-29 07:00:00,2022-12-29 10:00:00,62,58,98
2022-12-29 07:00:00,2022-12-29 10:00:00,2,0,99
2022-12-29 07:00:00,2022-12-29 10:00:00,6,0,100
2022-12-30 08:00:00,2022-12-30 08:00:00,16,16,101
2022-12-31 13:00:00,2022-12-31 16:00:00,1,1,102
2022-12-31 13:00:00,2022-12-31 16:00:00,20,12,103
2023-01-01 00:00:00,2023-01-01 08:00:00,45,45,104
2023-01-02 00:00:00,2023-01-02 08:00:00,39,39,105
2023-01-02 00:00:00,2023-01-02 00:00:00,1,1,106
2023-01-02 00:00:00,2023-01-02 00:00:00,1,1,107
2023-01-11 11:00:00,2023-01-11 14:00:00,1,1,108
2023-01-11 12:00:00,2023-01-11 12:00:00,1,1,110
2023-01-12 09:00:00,2023-01-12 09:00:00,1,1,111
2023-01-14 00:00:00,2023-01-14 00:00:00,16,14,112
2023-01-14 00:00:00,2023-01-14 00:00:00,7,4,113
2023-01-14 00:00:00,2023-01-14 00:00:00,10,7,114
2023-01-14 00:00:00,2023-01-14 00:00:00,4,0,115
2023-01-14 15:30:00,2023-01-14 15:30:00,1,0,116
2023-01-20 18:00:00,2023-01-20 18:00:00,1,1,117
2023-01-20 18:00:00,2023-01-20 18:00:00,1,1,118
2023-01-23 10:00:00,2023-01-23 16:00:00,2,2,119
2023-01-23 10:00:00,2023-01-23 16:00:00,1,1,120
2023-01-25 09:00:00,2023-01-25 12:00:00,1,1,121
2023-01-26 04:00:00,2023-01-26 04:00:00,24,24,122
2023-01-26 10:45:00,2023-01-26 10:45:00,40,40,123
2023-01-26 10:45:00,2023-01-26 10:45:00,4,0,124
2023-01-26 10:45:00,2023-01-26 10:45:00,9,7,125
2023-01-26 10:45:00,2023-01-26 10:45:00,2,0,126
2023-02-09 15:00:00,2023-02-09 15:00:00,1,1,127
2023-02-09 21:50:00,2023-02-10 12:00:00,43,38,128
2023-02-09 21:50:00,2023-02-10 12:00:00,28,23,129
2023-02-09 21:50:00,2023-02-10 12:00:00,35,0,130
2023-02-09 21:50:00,2023-02-10 12:00:00,7,5,131
2023-02-10 18:00:00,2023-02-10 23:55:00,20,20,132
2023-02-11 18:40:00,2023-02-11 21:30:00,1,1,133
2023-02-11 18:40:00,2023-02-11 21:30:00,4,4,134
2023-02-15 00:00:00,2023-02-15 00:00:00,1,1,135
2023-02-16 01:40:00,2023-02-16 03:45:00,12,10,136
2023-02-16 01:40:00,2023-02-16 03:45:00,8,4,137
2023-02-16 01:40:00,2023-02-16 03:45:00,12,0,138
2023-02-16 01:40:00,2023-02-16 03:45:00,1,1,139
2023-02-16 01:40:00,2023-02-16 03:45:00,1,1,140
2023-02-16 01:40:00,2023-02-16 03:45:00,1,0,141
2023-02-18 10:00:00,2023-02-18 10:00:00,4,2,142
2023-02-27 04:00:00,2023-02-27 04:00:00,14,11,143
2023-03-01 00:30:00,2023-03-01 00:30:00,4,4,144
2023-03-06 00:00:00,2023-03-06 00:00:00,15,13,145
2023-03-08 00:00:00,2023-03-08 00:00:00,2,2,146
2023-03-09 00:00:00,2023-03-09 00:00:00,28,20,147
2023-03-09 00:00:00,2023-03-09 00:00:00,20,14,148
2023-03-09 00:00:00,2023-03-09 00:00:00,6,0,149
2023-03-09 00:00:00,2023-03-09 00:00:00,6,0,150
2023-03-09 00:00:00,2023-03-09 00:00:00,2,0,151
2023-03-09 00:00:00,2023-03-09 00:00:00,6,0,152
2023-03-09 00:00:00,2023-03-09 00:00:00,13,0,153
2023-03-09 00:00:00,2023-03-09 00:00:00,8,4,154
2023-03-14 10:00:00,2023-03-14 10:00:00,4,0,155
2023-03-17 21:00:00,2023-03-18 01:30:00,16,11,156
2023-03-21 19:40:00,2023-03-21 19:40:00,2,2,157
2023-03-21 23:30:00,2023-03-22 04:00:00,21,16,158
2023-03-23 21:30:00,2023-03-23 21:30:00,2,2,159
2023-03-27 21:40:00,2023-03-27 23:50:00,2,0,160
2023-03-27 21:40:00,2023-03-27 23:50:00,1,1,161
2023-03-27 21:40:00,2023-03-27 23:50:00,13,12,162
2023-03-30 21:10:00,2023-03-30 01:30:00,10,9,163
2023-04-04 03:00:00,2023-04-04 03:00:00,17,14,164
2023-04-08 13:00:00,2023-04-08 13:00:00,1,1,165
2023-04-10 00:00:00,2023-04-10 00:00:00,1,1,166
2023-04-10 00:00:00,2023-04-10 00:00:00,1,1,167
2023-04-18 00:00:00,2023-04-18 22:00:00,8,6,168
2023-04-18 00:00:00,2023-04-18 22:00:00,1,1,169
2023-04-19 00:00:00,2023-04-19 03:00:00,12,10,170
2023-04-19 00:00:00,2023-04-20 00:20:00,11,10,171
2023-04-21 00:00:00,2023-04-21 03:00:00,12,8,172
2023-04-21 19:00:00,2023-04-21 23:50:00,5,4,173
2023-04-22 00:00:00,2023-04-23 10:30:00,4,4,174
2023-04-23 11:50:00,2023-04-23 11:50:00,1,1,175
2023-04-24 00:00:00,2023-04-24 18:00:00,6,6,176
2023-04-24 00:00:00,2023-04-24 17:30:00,2,2,177
2023-04-24 00:00:00,2023-04-24 17:30:00,1,1,178
2023-04-26 00:00:00,2023-04-26 18:00:00,5,5,179
2023-04-26 00:00:00,2023-04-26 18:00:00,1,1,180
2023-04-28 04:00:00,2023-04-28 06:00:00,2,2,181
2023-04-28 04:00:00,2023-04-28 06:00:00,23,21,182
2023-04-29 04:00:00,2023-04-29 04:00:00,2,2,183
2023-04-29 10:00:00,2023-04-29 10:00:00,1,1,184
2023-05-01 02:00:00,2023-05-01 04:00:00,18,15,185
2023-05-02 22:30:00,2023-05-03 05:00:00,26,21,186
2023-05-03 00:00:00,2023-05-03 13:00:00,2,2,187
2023-05-03 00:00:00,2023-05-03 13:00:00,1,1,188
2023-05-03 00:00:00,2023-05-03 13:00:00,1,1,189
2023-05-04 00:00:00,2023-05-04 08:00:00,24,18,190
2023-05-04 00:00:00,2023-05-04 08:00:00,1,1,191
2023-05-04 02:30:00,2023-05-04 02:30:00,1,1,192
2023-05-05 00:00:00,2023-05-05 08:00:00,2,2,193
2023-05-06 00:00:00,2023-05-06 08:00:00,8,8,194
2023-05-06 00:00:00,2023-05-06 00:00:00,1,1,195
2023-05-06 00:00:00,2023-05-06 00:00:00,4,4,196
2023-05-08 00:00:00,2023-05-08 00:00:00,8,0,197
2023-05-08 00:00:00,2023-05-08 03:00:00,35,35,198
2023-05-08 00:00:00,2023-05-08 17:00:00,2,2,199
2023-05-08 00:00:00,2023-05-08 17:00:00,1,1,200
2023-05-08 00:00:00,2023-05-08 22:00:00,8,8,201
2023-05-09 04:00:00,2023-05-08 06:00:00,17,15,202
2023-05-09 00:00:00,2023-05-09 23:30:00,3,3,203
2023-05-12 00:00:00,2023-05-12 00:00:00,4,4,204
2023-05-13 00:00:00,2023-05-13 06:00:00,21,17,205
2023-05-13 00:00:00,2023-05-13 06:00:00,1,1,206
2023-05-14 00:00:00,2023-05-14 07:00:00,18,18,207
2023-05-14 00:00:00,2023-05-14 07:00:00,1,1,208
2023-05-14 00:00:00,2023-05-14 07:00:00,2,2,209
2023-05-14 00:00:00,2023-05-14 07:00:00,4,4,210
2023-05-14 00:00:00,2023-05-14 07:00:00,3,3,211
2023-05-14 00:00:00,2023-05-14 18:00:00,2,2,212
2023-05-14 00:00:00,2023-05-14 18:00:00,1,1,213
2023-05-14 00:00:00,2023-05-14 23:50:00,1,1,214
2023-05-14 00:00:00,2023-05-14 23:50:00,4,4,215
2023-05-15 00:00:00,2023-05-15 17:00:00,1,1,216
2023-05-15 00:00:00,2023-05-15 17:00:00,2,2,217
2023-05-15 00:00:00,2023-05-15 17:00:00,1,1,218
2023-05-16 03:30:00,2023-05-16 07:00:00,6,6,219
2023-05-16 03:30:00,2023-05-16 07:00:00,9,9,220
2023-05-16 03:30:00,2023-05-16 07:00:00,10,10,221
2023-05-16 03:30:00,2023-05-16 07:00:00,6,6,222
2023-05-16 03:30:00,2023-05-16 07:00:00,1,1,223
2023-05-16 03:30:00,2023-05-16 07:00:00,2,2,224
