target,id,city,Oblast,Country,latitude,longitude
Ukraine,73,,,Ukraine,49.4871968,31.2718321
Ukraine,77,,,Ukraine,49.4871968,31.2718321
Ukraine,78,,,Ukraine,49.4871968,31.2718321
Ukraine,79,,,Ukraine,49.4871968,31.2718321
Ukraine,80,,,Ukraine,49.4871968,31.2718321
Ukraine,81,,,Ukraine,49.4871968,31.2718321
Ukraine,82,,,Ukraine,49.4871968,31.2718321
Ukraine,87,,,Ukraine,49.4871968,31.2718321
Ukraine,88,,,Ukraine,49.4871968,31.2718321
Ukraine,89,,,Ukraine,49.4871968,31.2718321
Ukraine,90,,,Ukraine,49.4871968,31.2718321
Ukraine,92,,,Ukraine,49.4871968,31.2718321
Ukraine,97,,,Ukraine,49.4871968,31.2718321
Ukraine,98,,,Ukraine,49.4871968,31.2718321
Ukraine,99,,,Ukraine,49.4871968,31.2718321
Ukraine,100,,,Ukraine,49.4871968,31.2718321
Ukraine,101,,,Ukraine,49.4871968,31.2718321
Ukraine,103,,,Ukraine,49.4871968,31.2718321
Ukraine,104,,,Ukraine,49.4871968,31.2718321
Ukraine,105,,,Ukraine,49.4871968,31.2718321
Ukraine,112,,,Ukraine,49.4871968,31.2718321
Ukraine,113,,,Ukraine,49.4871968,31.2718321
Ukraine,114,,,Ukraine,49.4871968,31.2718321
Ukraine,115,,,Ukraine,49.4871968,31.2718321
Ukraine,122,,,Ukraine,49.4871968,31.2718321
Ukraine,123,,,Ukraine,49.4871968,31.2718321
Ukraine,124,,,Ukraine,49.4871968,31.2718321
Ukraine,125,,,Ukraine,49.4871968,31.2718321
Ukraine,126,,,Ukraine,49.4871968,31.2718321
Ukraine,128,,,Ukraine,49.4871968,31.2718321
Ukraine,129,,,Ukraine,49.4871968,31.2718321
Ukraine,131,,,Ukraine,49.4871968,31.2718321
Ukraine,132,,,Ukraine,49.4871968,31.2718321
Ukraine,136,,,Ukraine,49.4871968,31.2718321
Ukraine,137,,,Ukraine,49.4871968,31.2718321
Ukraine,138,,,Ukraine,49.4871968,31.2718321
Ukraine,139,,,Ukraine,49.4871968,31.2718321
Ukraine,140,,,Ukraine,49.4871968,31.2718321
Ukraine,141,,,Ukraine,49.4871968,31.2718321
Ukraine,147,,,Ukraine,49.4871968,31.2718321
Ukraine,148,,,Ukraine,49.4871968,31.2718321
Ukraine,149,,,Ukraine,49.4871968,31.2718321
Ukraine,150,,,Ukraine,49.4871968,31.2718321
Ukraine,151,,,Ukraine,49.4871968,31.2718321
Ukraine,152,,,Ukraine,49.4871968,31.2718321
Ukraine,153,,,Ukraine,49.4871968,31.2718321
Ukraine,181,,,Ukraine,49.4871968,31.2718321
Ukraine,182,,,Ukraine,49.4871968,31.2718321
Ukraine,185,,,Ukraine,49.4871968,31.2718321
Ukraine,186,,,Ukraine,49.4871968,31.2718321
Ukraine,202,,,Ukraine,49.4871968,31.2718321
Ukraine,205,,,Ukraine,49.4871968,31.2718321
Ukraine,206,,,Ukraine,49.4871968,31.2718321
Ukraine,207,,,Ukraine,49.4871968,31.2718321
Ukraine,208,,,Ukraine,49.4871968,31.2718321
Ukraine,209,,,Ukraine,49.4871968,31.2718321
Ukraine,210,,,Ukraine,49.4871968,31.2718321
Ukraine,211,,,Ukraine,49.4871968,31.2718321
Ukraine,219,,,Ukraine,49.4871968,31.2718321
Ukraine,220,,,Ukraine,49.4871968,31.2718321
Ukraine,221,,,Ukraine,49.4871968,31.2718321
Ukraine,222,,,Ukraine,49.4871968,31.2718321
Ukraine,223,,,Ukraine,49.4871968,31.2718321
Ukraine,224,,,Ukraine,49.4871968,31.2718321
Ukraine,227,,,Ukraine,49.4871968,31.2718321
Ukraine,228,,,Ukraine,49.4871968,31.2718321
Ukraine,229,,,Ukraine,49.4871968,31.2718321
Ukraine,230,,,Ukraine,49.4871968,31.2718321
Ukraine,231,,,Ukraine,49.4871968,31.2718321
Ukraine,232,,,Ukraine,49.4871968,31.2718321
Ukraine,233,,,Ukraine,49.4871968,31.2718321
Ukraine,244,,,Ukraine,49.4871968,31.2718321
Ukraine,245,,,Ukraine,49.4871968,31.2718321
Ukraine,246,,,Ukraine,49.4871968,31.2718321
Ukraine,247,,,Ukraine,49.4871968,31.2718321
Ukraine,248,,,Ukraine,49.4871968,31.2718321
Ukraine,249,,,Ukraine,49.4871968,31.2718321
Ukraine,250,,,Ukraine,49.4871968,31.2718321
Ukraine,251,,,Ukraine,49.4871968,31.2718321
Ukraine,252,,,Ukraine,49.4871968,31.2718321
Ukraine,254,,,Ukraine,49.4871968,31.2718321
Ukraine,255,,,Ukraine,49.4871968,31.2718321
Ukraine,256,,,Ukraine,49.4871968,31.2718321
Ukraine,257,,,Ukraine,49.4871968,31.2718321
Ukraine,258,,,Ukraine,49.4871968,31.2718321
Ukraine,259,,,Ukraine,49.4871968,31.2718321
Ukraine,260,,,Ukraine,49.4871968,31.2718321
Ukraine,262,,,Ukraine,49.4871968,31.2718321
Ukraine,270,,,Ukraine,49.4871968,31.2718321
Ukraine,271,,,Ukraine,49.4871968,31.2718321
Ukraine,272,,,Ukraine,49.4871968,31.2718321
Ukraine,276,,,Ukraine,49.4871968,31.2718321
Ukraine,277,,,Ukraine,49.4871968,31.2718321
Ukraine,278,,,Ukraine,49.4871968,31.2718321
